Fecha,Evento
23 de diciembre de 2019,Fecha límite de renuncia de afiliados a partidos políticos para postular por otra organización política
11 de abril de 2020,Cierre del Padrón Electoral
9 de julio de 2020,Convocatoria a elecciones generales
14 de agosto de 2020,Fecha límite de remisión del Padrón Electoral
13 de septiembre de 2020,Fecha límite de aprobación de Padrón Electoral
12 de octubre de 2020,Fecha límite para solicitar inscripción de alianzas electorales
29 de octubre de 2020,Fecha límite para lograr inscripción de alianzas electorales
9 de diciembre de 2020,Fecha máxima para publicación de resultados de elecciones internas de cada organización política
22 de diciembre de 2020,Fecha límite para la presentación de solicitudes de inscripción de fórmulas y listas de candidatosFecha de cierre del Registro de Organizaciones Políticas
31 de enero de 2021,Sorteo de miembros de mesa
10 de febrero de 2021,Fecha límite para la publicación de fórmulas y listas admitidasFecha límite para la renuncia y retiro de candidaturas
12 de marzo de 2021,Fecha límite para exclusión de candidatos por Declaración Jurada de Hoja de Vida y dádivasFecha límite para resolución de tachas
10 de abril de 2021,Fecha límite de exclusión por situación jurídica de candidatos
11 de abril de 2021,Elecciones generales de Perú
6 de junio de 2021,Segunda vuelta electoral
